รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
30040000,สพป.นครราชสีมา เขต 4,30040001,บ้านกุดจิก(รัชชุศิริอนุกูล),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,1,9,9,18,1,6,5,11,1,7,10,17,1,11,11,22,1,7,5,12,1,53,48,101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,48,101,6
30040000,สพป.นครราชสีมา เขต 4,30040002,บ้านสลักใด,1,5,6,1,12,10,22,1,18,14,32,1,31,29,60,3,12,10,22,1,11,13,24,1,13,6,19,1,9,12,21,1,16,8,24,1,12,11,23,1,73,60,133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,89,193,9
30040000,สพป.นครราชสีมา เขต 4,30040003,จตุรคามสามัคคี,2,4,6,1,5,3,8,1,1,4,5,1,8,11,19,3,4,3,7,1,6,5,11,1,9,3,12,1,8,4,12,1,12,5,17,1,7,3,10,1,46,23,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,34,88,9
30040000,สพป.นครราชสีมา เขต 4,30040004,โค้งยางวิทยา,0,0,0,0,8,8,16,1,10,2,12,1,18,10,28,2,8,3,11,1,4,8,12,1,11,4,15,1,8,8,16,1,5,8,13,1,8,8,16,1,44,39,83,6,14,7,21,1,7,5,12,1,1,5,6,1,22,17,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,66,150,11
30040000,สพป.นครราชสีมา เขต 4,30040008,บ้านห้วยตะคร้อ,0,0,0,0,3,6,9,1,0,0,0,0,3,6,9,1,5,5,10,1,0,0,0,0,4,5,9,1,0,0,0,0,5,2,7,1,0,0,0,0,14,12,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,35,4
30040000,สพป.นครราชสีมา เขต 4,30040009,บ้านนากลาง,0,0,0,0,14,9,23,1,17,11,28,1,31,20,51,2,12,7,19,1,10,7,17,1,8,15,23,1,12,11,23,1,11,10,21,1,17,11,28,1,70,61,131,6,10,12,22,1,6,10,16,1,11,10,21,1,27,32,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,113,241,11
30040000,สพป.นครราชสีมา เขต 4,30040010,บ้านนาใหญ่(เสถียรราษฎร์รัฐผดุง),0,0,0,0,7,10,17,1,8,7,15,1,15,17,32,2,8,3,11,1,4,4,8,1,11,8,19,1,8,6,14,1,10,12,22,1,11,6,17,1,52,39,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,56,123,8
30040000,สพป.นครราชสีมา เขต 4,30040011,บ้านหนองบอน,0,0,0,0,4,0,4,1,3,1,4,1,7,1,8,2,0,4,4,1,3,2,5,1,1,1,2,1,1,2,3,1,4,2,6,1,4,1,5,1,13,12,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33,8
30040000,สพป.นครราชสีมา เขต 4,30040012,โนนค่าวิทยา,0,0,0,0,5,5,10,1,6,4,10,1,11,9,20,2,11,3,14,1,8,2,10,1,4,8,12,1,4,5,9,1,6,5,11,1,4,4,8,1,37,27,64,6,7,3,10,1,2,3,5,1,6,2,8,1,15,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,44,107,11
30040000,สพป.นครราชสีมา เขต 4,30040013,บ้านกุดปลาเข็งเหมืองลี่,0,0,0,0,5,7,12,1,5,5,10,1,10,12,22,2,6,3,9,1,1,2,3,1,2,5,7,1,5,6,11,1,3,2,5,1,3,1,4,1,20,19,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,61,8
