รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
30020000,สพป.นครราชสีมา เขต 2,30020001,ไทรทอง,5,6,11,1,4,4,8,1,11,2,13,1,20,12,32,3,8,4,12,1,12,4,16,1,12,5,17,1,9,8,17,1,10,5,15,1,4,5,9,1,55,31,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,43,118,9
30020000,สพป.นครราชสีมา เขต 2,30020002,บ้านดงพลอง,6,1,7,1,14,16,30,1,19,15,34,1,39,32,71,3,14,9,23,1,8,15,23,1,12,9,21,1,9,6,15,1,12,8,20,1,13,17,30,1,68,64,132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,96,203,9
30020000,สพป.นครราชสีมา เขต 2,30020003,บ้านทรัพย์เจริญ,1,2,3,1,0,4,4,1,2,0,2,1,3,6,9,3,1,0,1,1,3,3,6,1,2,1,3,1,1,4,5,1,1,0,1,1,1,4,5,1,9,12,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30,9
30020000,สพป.นครราชสีมา เขต 2,30020004,บ้านพระนารายณ์,0,0,0,0,6,3,9,1,4,7,11,1,10,10,20,2,7,12,19,1,13,4,17,1,8,9,17,1,8,10,18,1,5,4,9,1,3,8,11,1,44,47,91,6,7,2,9,1,3,4,7,1,4,9,13,1,14,15,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,72,140,11
30020000,สพป.นครราชสีมา เขต 2,30020005,บ้านหนองขามน้อย,0,0,0,0,9,12,21,1,13,6,19,1,22,18,40,2,10,6,16,1,11,5,16,1,7,5,12,1,7,5,12,1,9,6,15,1,8,10,18,1,52,37,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,55,129,8
30020000,สพป.นครราชสีมา เขต 2,30020006,วัดหนองบัวยอดแก้ว,0,0,0,0,12,9,21,1,8,7,15,1,20,16,36,2,4,7,11,1,13,4,17,1,5,9,14,1,5,9,14,1,10,7,17,1,10,8,18,1,47,44,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,60,127,8
30020000,สพป.นครราชสีมา เขต 2,30020007,จักราชราษฎร์สามัคคี,2,3,5,1,11,16,27,1,23,18,41,2,36,37,73,4,49,51,100,3,55,49,104,3,46,63,109,3,57,57,114,3,43,38,81,2,45,47,92,3,295,305,600,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,342,673,21
30020000,สพป.นครราชสีมา เขต 2,30020009,บ้านตะกุดเครือปลอก,0,0,0,0,5,5,10,1,6,5,11,1,11,10,21,2,16,12,28,1,15,14,29,1,13,11,24,1,11,5,16,1,9,13,22,1,13,10,23,1,77,65,142,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,75,163,8
30020000,สพป.นครราชสีมา เขต 2,30020010,บ้านโนนพฤกษ์,0,0,0,0,4,7,11,1,8,3,11,1,12,10,22,2,11,1,12,1,4,7,11,1,7,9,16,1,11,5,16,1,8,6,14,1,6,9,15,1,47,37,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,47,106,8
30020000,สพป.นครราชสีมา เขต 2,30020011,บ้านหนองบัวกลาง,0,0,0,0,11,7,18,1,8,8,16,1,19,15,34,2,7,10,17,1,13,7,20,1,12,7,19,1,13,4,17,1,10,10,20,1,12,11,23,1,67,49,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,64,150,8
