รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
32010000,สพป.สุรินทร์ เขต 1,32010001,บ้านขนาด,0,0,0,0,2,2,4,1,1,2,3,1,3,4,7,2,6,4,10,1,5,6,11,1,5,2,7,1,2,1,3,1,2,3,5,1,3,7,10,1,23,23,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,53,8
32010000,สพป.สุรินทร์ เขต 1,32010002,บ้านกาเกาะ(แหลมราษฎร์นุเคราะห์),0,0,0,0,7,4,11,1,9,7,16,1,16,11,27,2,6,2,8,1,10,4,14,1,7,7,14,1,5,7,12,1,5,7,12,1,11,15,26,1,44,42,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,113,8
32010000,สพป.สุรินทร์ เขต 1,32010003,บ้านโคกอารักษ์,0,0,0,0,11,8,19,1,6,6,12,1,17,14,31,2,2,6,8,1,6,6,12,1,2,8,10,1,3,3,6,1,9,7,16,1,7,8,15,1,29,38,67,6,15,10,25,1,11,9,20,1,13,8,21,1,39,27,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,79,164,11
32010000,สพป.สุรินทร์ เขต 1,32010004,บ้านขามระกา,0,0,0,0,7,10,17,1,14,8,22,1,21,18,39,2,6,3,9,1,8,9,17,1,8,7,15,1,8,7,15,1,17,9,26,1,10,8,18,1,57,43,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,61,139,8
32010000,สพป.สุรินทร์ เขต 1,32010005,บ้านแกใหญ่,0,0,0,0,19,20,39,2,16,13,29,1,35,33,68,3,23,26,49,2,21,21,42,2,19,19,38,2,11,15,26,1,12,25,37,2,16,22,38,2,102,128,230,11,26,24,50,2,15,21,36,2,19,21,40,2,60,66,126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,227,424,20
32010000,สพป.สุรินทร์ เขต 1,32010006,บ้านแกน้อย,3,5,8,1,4,5,9,1,13,10,23,1,20,20,40,3,4,8,12,1,11,7,18,1,8,4,12,1,11,6,17,1,9,13,22,1,12,6,18,1,55,44,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,64,139,9
32010000,สพป.สุรินทร์ เขต 1,32010007,บ้านนาเกา,0,0,0,0,3,8,11,1,11,8,19,1,14,16,30,2,12,6,18,1,13,5,18,1,13,10,23,1,11,7,18,1,10,17,27,1,8,5,13,1,67,50,117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,66,147,8
32010000,สพป.สุรินทร์ เขต 1,32010009,บ้านจักจรูก,0,0,0,0,9,4,13,1,7,6,13,1,16,10,26,2,7,8,15,1,10,8,18,1,7,8,15,1,2,2,4,1,4,4,8,1,4,6,10,1,34,36,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,96,8
32010000,สพป.สุรินทร์ เขต 1,32010010,บ้านตระแบกน้อย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32010000,สพป.สุรินทร์ เขต 1,32010011,บ้านคอโค,0,0,0,0,26,30,56,2,25,41,66,2,51,71,122,4,34,32,66,3,39,28,67,3,29,31,60,3,35,41,76,3,42,32,74,3,31,29,60,2,210,193,403,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,264,525,21
